Cell line,Replicate,a-D-Glucose,a-Keto-Butyric Acid,a-Keto-Glutaric Acid,a-Keto-Isocaproic Acid (+ L-Malic Acid 100 uM),Acetyl-L-Carnitine (+ L-Malic Acid 100 uM),Ala-Gln,cis-Aconitic Acid,Citric Acid,D-Gluconate-6-PO4,D-Glucose-1-PO4,D-Glucose-6-PO4,D-L-a-Glycerol-PO4,D-L-b-Hydroxy-Butyric Acid,D-L-Isocitric Acid,Fumaric Acid,g-Amino-Butyric Acid (+ L-Malic Acid 100 uM),Glycogen,L-Glutamic Acid,L-Glutamine,L-Lactic Acid,L-Leucine (+ L-Malic Acid 100 uM),L-Malic Acid,L-Malic Acid (100 uM),L-Ornithine,L-Serine,No Substrate,Octanoyl-L-Carnitine (+ L-Malic Acid 100 uM),Palmitoyl-DL-Carnitine Chloride (+ L-Malic Acid 100 uM),Pyruvic Acid,Pyruvic Acid (+ L-Malic Acid 100 uM),Succinic Acid,Tryptamine
Colo205,1,7.17,5.07,49.58,5.12,17.81,5.4,24.9,13.74,15.54,16.99,17.7,11.1,21.53,26.69,40.14,7.96,1.9,7.38,8.77,9.24,9.23,52.62,0.39,-0.14,0.1,-0.98,25.07,16.9,10.7,47.45,51.42,1.92
Colo205,2,9.73,6.73,54.7,7.67,13.23,8.44,22.11,17.11,17.86,26.82,23.28,10.97,22.65,34.33,44.32,8.74,5.1,9.16,8.95,8.6,0.77,51.81,0,-0.08,5.8,0,26.06,16.9,24.71,44.62,61.8,-0.37
Colo205,3,9.11,7.2,41.4,4.23,9.8,6.92,16.85,13.27,15.27,15.45,19.11,8.46,21.29,19.99,34.6,2.23,5.31,7.22,10.94,7.04,7.62,38.77,-0.01,-0.63,0.17,3.08,14.41,13.43,13.54,32.94,48.75,4.55
MEF,1,-0.37,2.77,69.28,-1.66,3.55,34.7,27.21,2.42,0.13,0.16,-0.12,13.35,0.03,38.39,49.88,-1.86,7.35,21.11,25.1,0.13,-1.68,70.8,107.85,7.98,0.05,-0.57,60.26,22.5,2.43,39.52,88.01,5.09
MEF,2,-0.07,2.18,79.88,-1.53,3.79,22.02,17.34,2.31,0.3,0.21,0.59,13.69,0.25,49.06,59.35,-1.68,7.46,21.45,25.45,0.16,-0.68,91.24,0,12.5,0.28,0.03,20.25,15.69,2.93,34.31,101.62,5.11
MEF,3,0.05,1.62,75.49,-1.7,4.73,24.44,23.85,0.2,0.33,0.22,0.27,13.26,0.24,54.14,45.66,1.08,7.67,25.7,31.05,0.06,-1.87,77.66,-1.43,12.08,0.13,0,17.82,9.64,5.78,34.7,68.75,4.56
MEL,1,-0.2,10.76,160.78,-0.07,30.05,24.57,64.34,18.66,0.16,0.53,0.36,12.32,80.15,87.05,136.37,-0.27,16.64,22.19,28.23,0.14,-0.07,160.14,-0.41,0.26,0.16,-0.45,69.91,60.97,14.65,118.97,230.57,0.39
MEL,2,0.06,14.35,183.52,-0.03,56.74,24.11,72.66,16.09,0.23,0.41,0.82,19.25,106.54,114.96,141.43,-0.17,27.31,34.57,43.47,0.16,-0.08,202.25,0,3.8,0.27,0.06,131.06,74.71,22.45,148.24,203.37,0.4
MEL,3,0.09,2.61,167.33,-0.09,68.3,30.99,102.66,26.93,0.29,0.35,0.67,17.81,130.77,126.36,144.4,-0.09,29.18,45.04,71.41,-0.03,-0.98,200.21,10.95,9.7,-0.03,0,94.18,95.71,24.94,145.37,106.93,0.08
