"field","journal","year","n_graphs","n_bar_cont","n_informative","n_bar_or_informative","policy","policy_year","log_offset","year_centered"
"cardiac & cardiovascular systems","annals of thoracic surgery",2010,442,55,27,79,0,0,1.48613969608961,-7.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2011,467,68,50,114,0,0,1.54115907168081,-6.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2012,456,46,48,87,0,0,1.51732262352629,-5.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2013,478,60,51,104,0,0,1.56444054650336,-4.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2014,465,58,48,97,0,0,1.53686721959926,-3.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2015,462,62,67,120,0,0,1.53039470509365,-2.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2016,461,64,60,118,0,0,1.52822785700856,-1.7887633396108
"cardiac & cardiovascular systems","annals of thoracic surgery",2017,472,43,73,112,0,0,1.55180879959746,-0.788763339610796
"cardiac & cardiovascular systems","annals of thoracic surgery",2018,458,43,67,101,0,0,1.52169899812609,0.211236660389204
"cardiac & cardiovascular systems","annals of thoracic surgery",2019,422,52,56,98,0,0,1.43983512804792,1.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2020,444,29,70,95,0,0,1.49065437644413,2.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2021,448,33,72,96,0,0,1.49962304642689,3.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2022,367,9,20,27,0,0,1.30019166206648,4.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2023,278,12,46,56,0,0,1.02245092770255,5.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2024,209,11,35,43,0,0,0.73716406597672,6.2112366603892
"cardiac & cardiovascular systems","annals of thoracic surgery",2025,218,14,40,47,0,0,0.779324876800998,7.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2010,496,229,85,278,0,0,1.60140574073684,-7.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2011,406,194,79,231,0,0,1.40118297361364,-6.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2012,380,178,87,220,0,0,1.33500106673234,-5.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2013,312,134,54,171,0,0,1.13783300182139,-4.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2014,394,179,86,226,0,0,1.37118072330984,-3.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2015,399,146,78,195,0,0,1.38379123090177,-2.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2016,357,148,81,195,0,0,1.27256559579155,-1.7887633396108
"cardiac & cardiovascular systems","atherosclerosis",2017,277,98,65,142,0,0,1.01884732019925,-0.788763339610796
"cardiac & cardiovascular systems","atherosclerosis",2018,347,109,80,152,0,0,1.24415459395877,0.211236660389204
"cardiac & cardiovascular systems","atherosclerosis",2019,234,82,74,115,0,0,0.85015092936961,1.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2020,227,57,65,105,0,0,0.819779831493311,2.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2021,202,39,56,79,0,0,0.703097511413113,3.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2022,174,30,59,77,0,0,0.553885113226438,4.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2023,149,38,55,75,0,0,0.398776119957368,5.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2024,165,36,75,89,0,0,0.500775287912489,6.2112366603892
"cardiac & cardiovascular systems","atherosclerosis",2025,188,38,90,109,0,0,0.631271776841858,7.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2010,70,63,15,65,0,0,-0.356674943938732,-7.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2011,97,87,20,92,0,0,-0.0304592074847086,-6.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2012,67,60,20,63,0,0,-0.400477566597125,-5.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2013,68,63,16,66,0,0,-0.385662480811985,-4.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2014,48,43,16,47,0,0,-0.7339691750802,-3.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2015,54,50,18,53,0,0,-0.616186139423817,-2.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2016,53,51,20,53,0,0,-0.63487827243597,-1.7887633396108
"cardiac & cardiovascular systems","basic research in cardiology",2017,57,50,19,54,0,0,-0.562118918153541,-0.788763339610796
"cardiac & cardiovascular systems","basic research in cardiology",2018,28,21,15,27,0,0,-1.27296567581289,0.211236660389204
"cardiac & cardiovascular systems","basic research in cardiology",2019,40,29,27,38,0,0,-0.916290731874155,1.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2020,55,35,41,54,0,0,-0.59783700075562,2.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2021,48,21,39,46,0,0,-0.7339691750802,3.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2022,47,25,41,46,0,0,-0.755022584278033,4.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2023,35,14,30,33,0,0,-1.04982212449868,5.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2024,45,11,42,43,0,0,-0.798507696217772,6.2112366603892
"cardiac & cardiovascular systems","basic research in cardiology",2025,50,10,47,48,0,0,-0.693147180559945,7.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2010,50,14,5,19,0,0,-0.693147180559945,-7.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2011,62,10,10,18,0,0,-0.478035800943,-6.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2012,60,10,6,15,0,0,-0.510825623765991,-5.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2013,112,25,16,37,0,0,0.113328685307003,-4.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2014,106,20,13,31,0,0,0.0582689081239758,-3.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2015,74,21,11,28,0,0,-0.301105092783922,-2.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2016,121,24,17,39,0,0,0.19062035960865,-1.7887633396108
"cardiac & cardiovascular systems","canadian journal of cardiology",2017,77,13,18,29,0,0,-0.261364764134408,-0.788763339610796
"cardiac & cardiovascular systems","canadian journal of cardiology",2018,93,11,6,16,0,0,-0.0725706928348354,0.211236660389204
"cardiac & cardiovascular systems","canadian journal of cardiology",2019,96,17,27,38,0,0,-0.0408219945202552,1.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2020,105,12,24,29,0,0,0.048790164169432,2.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2021,112,13,18,25,0,0,0.113328685307003,3.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2022,62,9,13,19,0,0,-0.478035800943,4.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2023,64,12,17,27,0,0,-0.446287102628419,5.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2024,81,5,17,21,0,0,-0.210721031315653,6.2112366603892
"cardiac & cardiovascular systems","canadian journal of cardiology",2025,111,17,31,42,0,0,0.104360015324243,7.2112366603892
"cardiac & cardiovascular systems","circulation",2010,401,162,86,201,1,1,1.38879124131848,-7.7887633396108
"cardiac & cardiovascular systems","circulation",2011,390,186,86,221,1,2,1.3609765531356,-6.7887633396108
"cardiac & cardiovascular systems","circulation",2012,420,180,111,231,1,3,1.43508452528932,-5.7887633396108
"cardiac & cardiovascular systems","circulation",2013,351,152,108,199,1,4,1.25561603747777,-4.7887633396108
"cardiac & cardiovascular systems","circulation",2014,287,98,80,139,1,5,1.05431202977153,-3.7887633396108
"cardiac & cardiovascular systems","circulation",2015,262,89,80,126,1,6,0.963174317773006,-2.7887633396108
"cardiac & cardiovascular systems","circulation",2016,251,72,90,121,1,7,0.920282753143692,-1.7887633396108
"cardiac & cardiovascular systems","circulation",2017,244,99,106,146,1,8,0.89199803930511,-0.788763339610796
"cardiac & cardiovascular systems","circulation",2018,261,103,117,159,1,9,0.959350221334602,0.211236660389204
"cardiac & cardiovascular systems","circulation",2019,262,89,108,137,1,10,0.963174317773006,1.2112366603892
"cardiac & cardiovascular systems","circulation",2020,222,51,100,115,1,11,0.797507195884188,2.2112366603892
"cardiac & cardiovascular systems","circulation",2021,233,39,127,138,1,12,0.845868267577609,3.2112366603892
"cardiac & cardiovascular systems","circulation",2022,197,28,101,106,1,13,0.678033542749897,4.2112366603892
"cardiac & cardiovascular systems","circulation",2023,179,30,89,94,1,14,0.582215619852664,5.2112366603892
"cardiac & cardiovascular systems","circulation",2024,193,32,109,114,1,15,0.657520002916794,6.2112366603892
"cardiac & cardiovascular systems","circulation",2025,190,33,116,125,1,16,0.641853886172395,7.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2010,67,20,11,28,1,1,-0.400477566597125,-7.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2011,97,26,21,37,1,2,-0.0304592074847086,-6.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2012,123,35,34,61,1,3,0.207014169384326,-5.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2013,129,30,31,54,1,4,0.254642218373581,-4.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2014,123,21,32,46,1,5,0.207014169384326,-3.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2015,134,28,38,54,1,6,0.29266961396282,-2.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2016,108,20,21,34,1,7,0.0769610411361284,-1.7887633396108
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2017,101,21,30,43,1,8,0.00995033085316809,-0.788763339610796
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2018,102,23,38,50,1,9,0.0198026272961797,0.211236660389204
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2019,84,21,27,36,1,10,-0.174353387144778,1.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2020,102,17,34,44,1,11,0.0198026272961797,2.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2021,64,12,20,30,1,12,-0.446287102628419,3.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2022,51,8,17,22,1,13,-0.673344553263766,4.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2023,49,6,19,21,1,14,-0.713349887877465,5.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2024,66,14,25,31,1,15,-0.415515443961666,6.2112366603892
"cardiac & cardiovascular systems","circulation arrhythmia & electrophysiology",2025,73,12,30,34,1,16,-0.3147107448397,7.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2010,80,24,22,38,1,1,-0.22314355131421,-7.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2011,68,21,11,30,1,2,-0.385662480811985,-6.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2012,76,32,19,45,1,3,-0.27443684570176,-5.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2013,102,40,33,67,1,4,0.0198026272961797,-4.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2014,83,16,18,31,1,5,-0.186329578191493,-3.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2015,80,23,27,40,1,6,-0.22314355131421,-2.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2016,90,17,26,42,1,7,-0.105360515657826,-1.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2017,86,15,26,39,1,8,-0.150822889734584,-0.788763339610796
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2018,57,11,16,23,1,9,-0.562118918153541,0.211236660389204
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2019,62,4,24,27,1,10,-0.478035800943,1.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2020,57,9,14,21,1,11,-0.562118918153541,2.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2021,56,11,17,26,1,12,-0.579818495252942,3.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2022,46,4,13,16,1,13,-0.776528789498996,4.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2023,52,9,14,18,1,14,-0.653926467406664,5.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2024,60,5,19,22,1,15,-0.510825623765991,6.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular imaging",2025,66,8,26,32,1,16,-0.415515443961666,7.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2010,61,20,7,25,1,1,-0.49429632181478,-7.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2011,58,18,14,29,1,2,-0.544727175441672,-6.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2012,82,22,24,38,1,3,-0.198450938723838,-5.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2013,70,9,16,25,1,4,-0.356674943938732,-4.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2014,74,17,21,33,1,5,-0.301105092783922,-3.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2015,103,20,20,34,1,6,0.0295588022415444,-2.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2016,96,18,18,30,1,7,-0.0408219945202552,-1.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2017,82,15,22,28,1,8,-0.198450938723838,-0.788763339610796
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2018,84,13,15,27,1,9,-0.174353387144778,0.211236660389204
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2019,90,7,25,29,1,10,-0.105360515657826,1.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2020,99,5,23,27,1,11,-0.0100503358535015,2.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2021,99,12,20,30,1,12,-0.0100503358535015,3.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2022,77,7,20,25,1,13,-0.261364764134408,4.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2023,53,2,13,15,1,14,-0.63487827243597,5.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2024,85,13,24,33,1,15,-0.162518929497775,6.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular interventions",2025,81,5,17,22,1,16,-0.210721031315653,7.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2010,65,10,9,18,1,1,-0.430782916092454,-7.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2011,64,10,11,20,1,2,-0.446287102628419,-6.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2012,81,8,13,19,1,3,-0.210721031315653,-5.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2013,71,13,3,16,1,4,-0.342490308946776,-4.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2014,90,9,14,22,1,5,-0.105360515657826,-3.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2015,67,7,11,18,1,6,-0.400477566597125,-2.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2016,69,7,13,19,1,7,-0.371063681390832,-1.7887633396108
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2017,73,5,15,18,1,8,-0.3147107448397,-0.788763339610796
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2018,74,5,10,15,1,9,-0.301105092783922,0.211236660389204
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2019,74,4,10,14,1,10,-0.301105092783922,1.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2020,77,6,12,17,1,11,-0.261364764134408,2.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2021,78,9,13,21,1,12,-0.2484613592985,3.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2022,59,4,7,11,1,13,-0.527632742082372,4.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2023,56,1,6,7,1,14,-0.579818495252942,5.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2024,78,4,17,20,1,15,-0.2484613592985,6.2112366603892
"cardiac & cardiovascular systems","circulation cardiovascular quality & outcomes",2025,62,3,7,10,1,16,-0.478035800943,7.2112366603892
"cardiac & cardiovascular systems","circulation research",2010,258,245,52,247,1,1,0.947789398933526,-7.7887633396108
"cardiac & cardiovascular systems","circulation research",2011,185,174,35,174,1,2,0.615185639090233,-6.7887633396108
"cardiac & cardiovascular systems","circulation research",2012,192,174,45,177,1,3,0.65232518603969,-5.7887633396108
"cardiac & cardiovascular systems","circulation research",2013,172,155,50,160,1,4,0.542324290825362,-4.7887633396108
"cardiac & cardiovascular systems","circulation research",2014,143,128,50,135,1,5,0.357674444271816,-3.7887633396108
"cardiac & cardiovascular systems","circulation research",2015,144,125,60,134,1,6,0.364643113587909,-2.7887633396108
"cardiac & cardiovascular systems","circulation research",2016,129,98,57,108,1,7,0.254642218373581,-1.7887633396108
"cardiac & cardiovascular systems","circulation research",2017,135,111,74,120,1,8,0.300104592450338,-0.788763339610796
"cardiac & cardiovascular systems","circulation research",2018,123,88,71,108,1,9,0.207014169384326,0.211236660389204
"cardiac & cardiovascular systems","circulation research",2019,133,71,97,113,1,10,0.285178942233662,1.2112366603892
"cardiac & cardiovascular systems","circulation research",2020,144,28,131,133,1,11,0.364643113587909,2.2112366603892
"cardiac & cardiovascular systems","circulation research",2021,132,26,121,122,1,12,0.27763173659828,3.2112366603892
"cardiac & cardiovascular systems","circulation research",2022,120,20,108,110,1,13,0.182321556793955,4.2112366603892
"cardiac & cardiovascular systems","circulation research",2023,111,18,108,108,1,14,0.104360015324243,5.2112366603892
"cardiac & cardiovascular systems","circulation research",2024,116,13,106,106,1,15,0.148420005118273,6.2112366603892
"cardiac & cardiovascular systems","circulation research",2025,125,26,125,125,1,16,0.22314355131421,7.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2010,67,20,11,30,0,0,-0.400477566597125,-7.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2011,90,27,24,47,0,0,-0.105360515657826,-6.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2012,96,18,25,43,0,0,-0.0408219945202552,-5.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2013,79,16,13,27,0,0,-0.23572233352107,-4.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2014,71,16,18,29,0,0,-0.342490308946776,-3.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2015,89,23,23,40,0,0,-0.116533816255952,-2.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2016,89,15,17,29,0,0,-0.116533816255952,-1.7887633396108
"cardiac & cardiovascular systems","clinical research in cardiology",2017,87,12,21,31,0,0,-0.139262067333508,-0.788763339610796
"cardiac & cardiovascular systems","clinical research in cardiology",2018,98,13,22,33,0,0,-0.0202027073175195,0.211236660389204
"cardiac & cardiovascular systems","clinical research in cardiology",2019,112,16,23,35,0,0,0.113328685307003,1.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2020,131,23,24,41,0,0,0.27002713721306,2.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2021,144,21,33,49,0,0,0.364643113587909,3.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2022,103,15,35,44,0,0,0.0295588022415444,4.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2023,131,12,43,49,0,0,0.27002713721306,5.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2024,153,12,28,39,0,0,0.425267735404344,6.2112366603892
"cardiac & cardiovascular systems","clinical research in cardiology",2025,257,38,64,97,0,0,0.943905898907128,7.2112366603892
"cardiac & cardiovascular systems","eurointervention",2010,63,12,4,15,0,0,-0.462035459596559,-7.7887633396108
"cardiac & cardiovascular systems","eurointervention",2011,130,20,9,29,0,0,0.262364264467491,-6.7887633396108
"cardiac & cardiovascular systems","eurointervention",2012,123,21,11,31,0,0,0.207014169384326,-5.7887633396108
"cardiac & cardiovascular systems","eurointervention",2013,128,18,19,35,0,0,0.246860077931526,-4.7887633396108
"cardiac & cardiovascular systems","eurointervention",2014,134,26,19,40,0,0,0.29266961396282,-3.7887633396108
"cardiac & cardiovascular systems","eurointervention",2015,138,23,19,37,0,0,0.322083499169113,-2.7887633396108
"cardiac & cardiovascular systems","eurointervention",2016,226,28,25,50,0,0,0.815364813284194,-1.7887633396108
"cardiac & cardiovascular systems","eurointervention",2017,203,35,28,58,0,0,0.708035793053696,-0.788763339610796
"cardiac & cardiovascular systems","eurointervention",2018,157,24,27,45,0,0,0.451075619360217,0.211236660389204
"cardiac & cardiovascular systems","eurointervention",2019,109,12,32,39,0,0,0.0861776962410524,1.2112366603892
"cardiac & cardiovascular systems","eurointervention",2020,108,12,27,38,0,0,0.0769610411361284,2.2112366603892
"cardiac & cardiovascular systems","eurointervention",2021,117,13,30,38,0,0,0.157003748809665,3.2112366603892
"cardiac & cardiovascular systems","eurointervention",2022,97,13,20,30,0,0,-0.0304592074847086,4.2112366603892
"cardiac & cardiovascular systems","eurointervention",2023,89,13,29,36,0,0,-0.116533816255952,5.2112366603892
"cardiac & cardiovascular systems","eurointervention",2024,91,14,32,41,0,0,-0.0943106794712413,6.2112366603892
"cardiac & cardiovascular systems","eurointervention",2025,22,6,3,9,0,0,-1.51412773262978,7.2112366603892
"cardiac & cardiovascular systems","europace",2010,161,24,24,42,0,0,0.476234178996372,-7.7887633396108
"cardiac & cardiovascular systems","europace",2011,186,19,12,31,0,0,0.62057648772511,-6.7887633396108
"cardiac & cardiovascular systems","europace",2012,181,29,19,42,0,0,0.593326845277734,-5.7887633396108
"cardiac & cardiovascular systems","europace",2013,190,27,16,41,0,0,0.641853886172395,-4.7887633396108
"cardiac & cardiovascular systems","europace",2014,213,23,26,46,0,0,0.756121979721334,-3.7887633396108
"cardiac & cardiovascular systems","europace",2015,184,17,25,41,0,0,0.609765571620894,-2.7887633396108
"cardiac & cardiovascular systems","europace",2016,205,20,29,45,0,0,0.717839793150317,-1.7887633396108
"cardiac & cardiovascular systems","europace",2017,198,17,30,44,0,0,0.683096844706444,-0.788763339610796
"cardiac & cardiovascular systems","europace",2018,277,54,48,90,0,0,1.01884732019925,0.211236660389204
"cardiac & cardiovascular systems","europace",2019,170,19,33,47,0,0,0.53062825106217,1.2112366603892
"cardiac & cardiovascular systems","europace",2020,187,26,41,62,0,0,0.625938430866495,2.2112366603892
"cardiac & cardiovascular systems","europace",2021,201,19,53,67,0,0,0.698134722070984,3.2112366603892
"cardiac & cardiovascular systems","europace",2022,147,15,30,38,0,0,0.385262400790645,4.2112366603892
"cardiac & cardiovascular systems","europace",2023,328,39,68,96,0,0,1.18784342239605,5.2112366603892
"cardiac & cardiovascular systems","europace",2024,167,22,48,61,0,0,0.512823626428664,6.2112366603892
"cardiac & cardiovascular systems","europace",2025,155,24,48,61,0,0,0.438254930931155,7.2112366603892
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2010,25,3,0,3,0,0,-1.38629436111989,-7.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2011,26,3,2,4,0,0,-1.34707364796661,-6.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2012,40,1,1,2,0,0,-0.916290731874155,-5.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2013,52,1,3,4,0,0,-0.653926467406664,-4.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2014,49,2,5,7,0,0,-0.713349887877465,-3.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2015,48,1,1,2,0,0,-0.7339691750802,-2.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2016,60,2,3,5,0,0,-0.510825623765991,-1.7887633396108
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2017,64,4,2,6,0,0,-0.446287102628419,-0.788763339610796
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2018,65,2,0,2,0,0,-0.430782916092454,0.211236660389204
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2019,66,5,4,8,0,0,-0.415515443961666,1.2112366603892
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2021,69,2,5,6,0,0,-0.371063681390832,3.2112366603892
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2022,73,3,6,9,0,0,-0.3147107448397,4.2112366603892
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2023,80,4,5,7,0,0,-0.22314355131421,5.2112366603892
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2024,83,1,5,6,0,0,-0.186329578191493,6.2112366603892
"cardiac & cardiovascular systems","european journal of cardiovascular nursing",2025,98,5,9,12,0,0,-0.0202027073175195,7.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2010,135,37,27,63,0,0,0.300104592450338,-7.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2011,140,27,27,50,0,0,0.336472236621213,-6.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2012,124,36,17,47,0,0,0.215111379616945,-5.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2013,138,33,23,52,0,0,0.322083499169113,-4.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2014,127,28,22,41,0,0,0.2390169004705,-3.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2015,102,21,18,37,0,0,0.0198026272961797,-2.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2016,95,16,14,29,0,0,-0.0512932943875506,-1.7887633396108
"cardiac & cardiovascular systems","european journal of heart failure",2017,109,15,21,34,0,0,0.0861776962410524,-0.788763339610796
"cardiac & cardiovascular systems","european journal of heart failure",2018,96,16,25,38,0,0,-0.0408219945202552,0.211236660389204
"cardiac & cardiovascular systems","european journal of heart failure",2019,97,13,19,30,0,0,-0.0304592074847086,1.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2020,127,23,28,43,0,0,0.2390169004705,2.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2021,117,17,36,47,0,0,0.157003748809665,3.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2022,127,20,30,40,0,0,0.2390169004705,4.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2023,138,20,26,43,0,0,0.322083499169113,5.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2024,161,18,44,58,0,0,0.476234178996372,6.2112366603892
"cardiac & cardiovascular systems","european journal of heart failure",2025,196,24,42,59,0,0,0.672944473242426,7.2112366603892
"cardiac & cardiovascular systems","european journal of preventive cardiology",2012,125,14,8,22,0,0,0.22314355131421,-5.7887633396108
"cardiac & cardiovascular systems","european journal of preventive cardiology",2013,99,8,11,19,0,0,-0.0100503358535015,-4.7887633396108
"cardiac & cardiovascular systems","european journal of preventive cardiology",2014,154,19,15,34,0,0,0.431782416425538,-3.7887633396108
"cardiac & cardiovascular systems","european journal of preventive cardiology",2015,144,21,8,29,0,0,0.364643113587909,-2.7887633396108
"cardiac & cardiovascular systems","european journal of preventive cardiology",2016,154,21,17,36,0,0,0.431782416425538,-1.7887633396108
